customer_city,order_count,revenue
sao paulo,15045,2108162.22
rio de janeiro,6601,1111872.32
belo horizonte,2697,406050.87
brasilia,2071,345221.87
curitiba,1489,238582.26
porto alegre,1342,214861.83
campinas,1406,209028.97
salvador,1188,207790.89
guarulhos,1144,157750.04
niteroi,825,135458.19
sao bernardo do campo,911,116785.21
goiania,660,113351.2
fortaleza,618,112951.56
santos,700,111170.11
recife,593,104795.5
santo andre,778,101863.52
florianopolis,556,97865.39
belem,431,93830.03
osasco,724,92461.02
jundiai,549,90314.82
sao jose dos campos,667,86492.5
sorocaba,609,85053.31
juiz de fora,423,74856.62
ribeirao preto,499,74211.13
nova iguacu,423,68470.07
campo grande,312,64793.66
sao luis,335,62155.04
vitoria,374,61487.64
joao pessoa,245,61117.81
sao goncalo,385,59387.42
teresina,271,59176.68
contagem,415,57240.61
barueri,419,57077.11
mogi das cruzes,374,56778.42
uberlandia,367,55691.92
piracicaba,356,55621.16
vila velha,326,54654.53
sao jose do rio preto,329,53296.63
londrina,298,52428.41
maceio,236,51644.96
maua,317,48113.09
cuiaba,243,45870.56
bauru,263,44292.81
maringa,260,44263.88
praia grande,301,43883.51
natal,203,42625.1
aracaju,213,42347.44
caxias do sul,220,41558.68
serra,278,41555.07
indaiatuba,274,41313.44
joinville,257,40508.69
taboao da serra,284,39300.68
volta redonda,227,38606.53
petropolis,234,38519.65
duque de caxias,250,38406.23
divinopolis,132,38392.73
campos dos goytacazes,232,37761.24
marilia,194,37219.88
santa maria,196,37197.74
carapicuiba,316,36704.65
macae,228,36583.22
sao caetano do sul,272,36430.82
sao carlos,236,34594.98
taubate,260,33717.73
cotia,242,33665.27
diadema,276,33305.0
guaruja,217,32647.07
betim,196,32101.51
uberaba,186,31881.58
canoas,205,31602.36
feira de santana,181,31427.0
montes claros,207,30722.4
nova friburgo,142,30715.39
presidente prudente,157,29166.5
blumenau,181,28625.75
cascavel,151,28403.13
suzano,230,28159.46
americana,216,28142.82
pelotas,183,27209.33
limeira,186,26060.739999999998
porto velho,108,26028.6
ipatinga,169,25958.56
santana de parnaiba,178,25866.02
manaus,137,25542.82
jaboatao dos guararapes,131,25282.34
franca,154,25275.25
valinhos,181,25190.98
sumare,178,24367.33
sao jose,167,24230.43
pouso alegre,128,23967.97
palmas,107,23705.75
atibaia,154,23180.88
nova lima,96,23112.170000000002
rio claro,154,22988.68
braganca paulista,144,22683.22
campina grande,67,22657.35
araraquara,150,22649.93
embu das artes,157,22400.920000000002
rio das ostras,130,22385.63
sao vicente,159,21838.86
ponta grossa,141,21786.91
barra mansa,119,21511.37
governador valadares,134,21475.72
itajai,119,21465.52
itaquaquecetuba,168,21421.82
angra dos reis,83,21421.329999999998
itapevi,170,21190.41
gravatai,111,21131.64
jacarei,189,20939.76
sao joao de meriti,124,20782.72
ananindeua,85,20777.66
novo hamburgo,121,20527.59
teresopolis,119,20266.34
sete lagoas,126,20173.89
anapolis,111,20029.82
cariacica,135,19353.08
patos de minas,99,19269.36
aracatuba,138,19261.27
vitoria da conquista,88,19252.21
cachoeiro de itapemirim,121,19175.45
rio grande,121,19068.89
balneario camboriu,97,18971.08
botucatu,100,18965.12
cabo frio,113,18857.72
araruama,74,18836.77
paulinia,127,18545.23
hortolandia,142,18413.0
vicosa,89,18388.27
pocos de caldas,116,18309.36
passo fundo,112,18088.81
marica,133,18020.170000000002
sao jose dos pinhais,130,17521.99
chapeco,101,17500.06
ferraz de vasconcelos,109,17385.65
rio branco,72,16976.49
mage,106,16751.06
birigui,78,16626.83
guaratingueta,96,16593.2
aparecida de goiania,105,16558.56
resende,115,16300.28
petrolina,62,16263.27
criciuma,91,16054.82
varginha,88,16022.51
itajuba,92,15992.36
nilopolis,103,15462.98
jaragua do sul,88,15299.9
olinda,89,15081.42
araxa,75,15041.85
araras,93,15010.42
